GEOID,pop_2024,households_2024,jobs_2023,ts_current,ts_pct_current,band_current
34019014100,3145,1203,2843,98.86220578727346,63.44827586206896,Emerging
34019014200,3146,1225,3702,109.74725332507166,70.13793103448276,Supportive
34019014300,3652,1403,4430,112.67359024664326,71.67816091954023,Supportive
34019014400,2952,1174,2252,92.43693871124213,60.04597701149425,Emerging
34019014500,3213,1256,3577,106.50041922759969,68.34482758620689,Supportive
34019014600,3208,1271,3259,103.47760188106546,66.29885057471264,Supportive
34019014700,3049,1198,3263,104.81766631662195,67.03448275862068,Supportive
34019014800,2851,1100,2703,100.09378852550051,64.41379310344827,Supportive
34019014900,3284,1255,3349,103.43510668292226,66.25287356321839,Supportive
34019015000,2967,1152,2943,103.08187421678859,66.06896551724138,Supportive
34019015100,2926,1126,3207,105.96813995285403,68.02298850574712,Supportive
34019015200,3185,1246,3376,104.209034605501,66.71264367816092,Supportive
34019015300,2936,1120,2965,103.91577279578958,66.57471264367817,Supportive
34019015400,3502,1379,3676,106.70216971811292,68.52873563218391,Supportive
34019015500,3314,1290,2950,99.68596698117805,64.0919540229885,Emerging
34019015600,3107,1196,3366,104.72076427879137,66.94252873563218,Supportive
34019015700,3028,1168,3018,102.18114815507527,65.67816091954023,Supportive
34019015800,3240,1276,3476,105.11620538964562,67.17241379310344,Supportive
34019015900,2844,1094,2626,99.15181915268156,63.58620689655172,Emerging
34019016000,2885,1119,2874,101.84172527558051,65.51724137931035,Supportive
34019016100,3097,1179,3283,104.53141898537607,66.85057471264368,Supportive
34019016200,2969,1134,3088,103.89196244387767,66.52873563218391,Supportive
34019016300,3151,1211,3337,104.30795786991835,66.75862068965517,Supportive
34019016400,2750,1071,2537,98.29601296012705,63.03448275862068,Emerging
34019016500,3002,1177,3174,103.7267506989742,66.4367816091954,Supportive
34019016600,2931,1122,3008,103.3241795155956,66.20689655172414,Supportive
34019016700,3048,1171,3231,104.36987913797249,66.80459770114942,Supportive
34019016800,2977,1137,3101,103.6969868028863,66.39080459770115,Supportive
34019016900,3100,1187,3296,104.42052079419613,66.80459770114942,Supportive
34019017000,2894,1112,2860,101.51799480367724,65.28735632183908,Supportive
34019017100,2996,1146,3106,103.64433484463451,66.34482758620689,Supportive
34019017200,2947,1127,3001,102.97375246967848,66.02298850574712,Supportive
34019017300,3019,1160,3175,103.85943509962844,66.48275862068965,Supportive
34019017400,2876,1106,2788,100.94391792967058,64.96551724137932,Supportive
34019017500,2997,1155,3108,103.6088802978206,66.34482758620689,Supportive
34019017600,2957,1128,3020,103.11866284209289,66.11494252873563,Supportive
34019017700,3012,1168,3201,104.120844083152,66.66666666666666,Supportive
34019017800,2867,1098,2765,100.71123489003992,64.82758620689656,Supportive
34019017900,3018,1159,3159,103.75631239277445,66.4367816091954,Supportive
34019018000,2945,1125,2980,102.76153395260643,65.88505747126437,Supportive
34019018100,3008,1155,3143,103.64191590773604,66.34482758620689,Supportive
34019018200,2883,1105,2811,101.14679056122997,65.10344827586206,Supportive
34019018300,2989,1146,3078,103.24184115829765,66.16091954022988,Supportive
34019018400,2928,1120,2944,102.44737669125754,65.74712643678161,Supportive
34019018500,2981,1143,3046,103.01499934832892,66.06896551724138,Supportive
34019018600,2892,1110,2852,101.42420928086706,65.24137931034483,Supportive
34019018700,2974,1139,3029,102.90827737789755,65.97701149425288,Supportive
34019018800,2918,1119,2924,102.26127403082226,65.60919540229885,Supportive
34019018900,2968,1136,3009,102.71705913059453,65.83908045977012,Supportive
34019019000,2901,1112,2873,101.55548892583138,65.33333333333333,Supportive
34019019100,2960,1134,2998,102.66823697590416,65.83908045977012,Supportive
34019019200,2908,1116,2890,101.6842026376619,65.42528735632183,Supportive
34019019300,2953,1130,2979,102.46594786191224,65.74712643678161,Supportive
34019019400,2915,1117,2910,101.99041984109623,65.51724137931035,Supportive
34019019500,2947,1128,2966,102.38478318868484,65.70114942528736,Supportive
34019019600,2917,1119,2917,102.07079295715423,65.5632183908046,Supportive
34019019700,2943,1126,2954,102.27805915763709,65.65517241379311,Supportive
34019019800,2924,1121,2927,102.06529510074904,65.5632183908046,Supportive
34019019900,2938,1125,2947,102.19602693423673,65.60919540229885,Supportive
34019020000,2928,1122,2931,102.08109039635062,65.5632183908046,Supportive
